id,title,query,perspective,created_at,sentiment,credibility_score,total_tweets,total_likes,total_retweets,total_replies
681e06bb32ba27d7ee7fbd33,"Comprehensive Analysis: Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay","Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay",overview,2025-05-09 19:14:27.661807,neutral,0,0,0,0,0
681e06bb32ba27d7ee7fbd34,"Sentiment Analysis: Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay","Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay",sentiment,2025-05-09 19:14:27.685048,neutral,0,0,0,0,0
681e06bb32ba27d7ee7fbd35,"Credibility Assessment: Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay","Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay",credibility,2025-05-09 19:14:27.686048,neutral,0,0,0,0,0
681e06bb32ba27d7ee7fbd36,"Trend Analysis: Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay","Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay",trends,2025-05-09 19:14:27.687050,neutral,0,0,0,0,0
681e06bb32ba27d7ee7fbd37,"Expert Recommendations: Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay","Tamilnadu Elections 2026 Result Expectation. Who will win? MKStalin, EPS or Vijay",recommendations,2025-05-09 19:14:27.688048,neutral,0,0,0,0,0
681e10e771ad6c40f392519d,Comprehensive Analysis: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,overview,2025-05-09 19:57:51.008125,neutral,0,0,0,0,0
681e10e771ad6c40f392519e,Sentiment Analysis: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,sentiment,2025-05-09 19:57:51.026102,neutral,0,0,0,0,0
681e10e771ad6c40f392519f,Credibility Assessment: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,credibility,2025-05-09 19:57:51.027101,neutral,0,0,0,0,0
681e10e771ad6c40f39251a0,Trend Analysis: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,trends,2025-05-09 19:57:51.028101,neutral,0,0,0,0,0
681e10e771ad6c40f39251a1,Expert Recommendations: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,recommendations,2025-05-09 19:57:51.029104,neutral,0,0,0,0,0
681e112f0fe2c9769b6d6ed9,Comprehensive Analysis: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,overview,2025-05-09 19:59:03.207695,neutral,0,0,0,0,0
681e112f0fe2c9769b6d6eda,Sentiment Analysis: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,sentiment,2025-05-09 19:59:03.211692,neutral,0,0,0,0,0
681e112f0fe2c9769b6d6edb,Credibility Assessment: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,credibility,2025-05-09 19:59:03.212692,neutral,0,0,0,0,0
681e112f0fe2c9769b6d6edc,Trend Analysis: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,trends,2025-05-09 19:59:03.213692,neutral,0,0,0,0,0
681e112f0fe2c9769b6d6edd,Expert Recommendations: Tamilnadu Economy 2025 with IT sector,Tamilnadu Economy 2025 with IT sector,recommendations,2025-05-09 19:59:03.213692,neutral,0,0,0,0,0
